floracion_dias,altura_cm,densidad_sem,rendimiento,aceite_porcentaje,campania,tipo_ensayo,epoca,distancia_entre_surcos,tipo_siembra,testigo,visible,cultivar
56,154,53368,2882,42.7,2006-2007,Convencional,Normal,52,Directa,NO,SI,AGROBEL 962 DM
56,126,60963,3060,52.55,2003-2004,Convencional,Normal,52,Directa,NO,SI,AGROBEL 962
56,150,44199,3087,46.72,2007-2008,Convencional,Normal,70,Directa,NO,SI,AGROBEL 962
56,149,54487,3033,50.17,2016-2017,Convencional,Normal,52,Directa,NO,SI,SRM 7510 CL
56,150,58494,3572,50.97,2014-2015,Convencional,Normal,52,Directa,NO,SI,SRM 750 CL
56,185,41253,1670,36.75,2007-2008,Convencional,Normal,52,Directa,NO,SI,ALBISOL 30
56,145,59969,2720,49.19,2003-2004,Convencional,Normal,52,Directa,NO,SI,ALBISOL 2
56,140,44490,2443,47.25,2003-2004,Convencional,Normal,70,Directa,NO,SI,ALBISOL 2
56,131,48878,3144,53.95,2016-2017,Convencional,Normal,52,Directa,NO,SI,VELLOX
56,95,69913,1435,53.49,2009-2010,Convencional,Normal,52,Directa,NO,SI,QC 6730
56,184,54258,3204,48.49,2010-2011,Convencional,Normal,52,Directa,NO,SI,QC 6730
56,110,41793,2340,43.1,2003-2004,Convencional,Normal,52,Convencional,NO,SI,PROTON R 100
56,150,70468,2557,42.74,2009-2010,Convencional,Normal,52,Directa,NO,SI,PROSOL 110
56,160,44843,1671,46.94,2009-2010,Clearfield,Normal,70,Directa,NO,SI,PROSOL 10
56,180,56064,2983,40.4,2006-2007,Convencional,Normal,52,Directa,NO,SI,PIONEER 65 A 02
56,179,52146,2666,39.3,2006-2007,Convencional,Normal,52,Directa,NO,SI,PIONEER 64 A 51
56,174,47982,3234,46.5,2008-2009,Convencional,Normal,52,Directa,NO,SI,PAN 7063 CL
56,167,65773,2674,49.71,2009-2010,Convencional,Normal,52,Directa,NO,SI,PAN 7031
56,190,43387,3116,51.8,2008-2009,Convencional,Normal,70,Directa,NO,SI,PARAISO 65
56,168,71709,2682,56.7,2009-2010,Convencional,Normal,52,Directa,NO,SI,PARAISO 65
